Gemeinde_Name,Einwohner,Einwohneraenderung,Bevoelkerungsdichte_pro_km2,Auslaender_in_prozent,Zero_to_Nineteen,Twenty_to_Sixtyfour,Sixtyfive_and_more,Marriage, Divorce,Birth,Death,Household,Household_size_average,area,settled_area_percentage,settled_area_chagne_in_ha,agricultural_area_percentage,agricultural_area_change_in_ha,woods_area_percentage,unproductive_area_percentage,Workers_total,first_sector_Workers_total,second_sector_Workers_total,third_sector_Workers_total,Workplaces_total,first_sector_Workplaces_total,second_sector_Workplaces_total,third_sector_Workplaces_total,Empty_Appartments_Number,New_homes_per_1000_inhabitants,Socialsecurity_in_Percent,FDP,CVP,SP,SVP,EVP_CSP,GLP,BDP,PdA_Sol,GPS,Small_parties,title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,date,shortcode,domain,status,type,district,entity_id,counted,yeas,nays,invalid,empty,eligible_voters,expats,total_votes,Wahlbeteiligung,Yes_ratio,No_ratio,Famous_Person_list,Famous_Person_count,Bevoelkerungsdichte_normalized_inverse,Auslaender_in_prozent_normalized_inverse,Buenzli_Rank_ranking_1,Bevoelkerungsdichte_normalized,Einwohner_normalized,Socialising_Rank_ranking_2,famous_person_count_district,inhabitants_district,famous_people_per_capita,third_sector_Workers_ratio,third_sector_Workers_total_normalized,famous_people_per_capita_normalized,New_homes_per_1000_inhabitants_normalized,Famous_People_relation_to_third_sector_and_new_homes_ranking_3
Vaz/Obervaz,2786,6.6615620214,65.5375205834,22.936109117,16.7623833453,60.1938262742,23.0437903805,5.3898670499,1.07797341,9.3424362199,6.4678404599,1327,2.0753579503,42.51,7.0352941176,35,40.4,-145,39.7411764706,12.8235294118,2753,70,333,2350,357,29,48,280,0.2810962755,12.1278941566,0.29,27.2749157439,16.7067886375,8.5459797785,29.1044776119,*,7.2460279249,7.1256620125,*,3.9961482908,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3506,True,844,472,19,3,1895,0.0,1316,0.6944591029023747,0.6413373860182371,0.3586626139817629,"Remigius Deflorin, Bischöflicher Obervogt und Erbauer des Junkerhauses|Dr. Hilarius Rischatsch, Bezirksarzt, 1849 nach Dubuque (USA) ausgewandert|Jakob Fidel Margreth, Unternehmer in Udine, nach seiner Rückkehr Wohltäter der Gemeinde|Elisabeth Candrian-de Florin, Kaffeesiederin in Mailand|Johann Jakob Simonet, Domsextar und Historiker|Paul Kollegger, Klarinettist und Komponist|Luzi Bergamin, Klarinettist und Komponist|Toni Cantieni, Nationalrat und Präsident der Lia Rumantscha|Heini Hemmi, ehemaliger Skirennfahrer (lebt in Valbella)|Silvano Beltrametti, ehemaliger Skirennfahrer (lebt in Valbella)",10.0,0.9055422188991447,0.47271153408995575,63.95186676681156,0.09445778110085536,0.07380701612249858,13.091997275560916,13.0,8054,0.001614104792649615,0.853614239011987,0.08127404429348768,0.2668261959049146,0.36459481808315214,23.98254642252879
Lantsch/Lenz,539,1.3157894737,24.7134342045,17.439703154,16.6975881262,60.1113172542,23.1910946197,1.8621973929,1.8621973929,7.4487895717,13.0353817505,262,2.0038167939,21.81,3.9395327531,12,27.256069629,-17,34.5854328905,34.2189647274,184,22,12,150,58,7,5,46,1.0152284264,1.8050541516,X,14.7942157953,23.0255839822,8.2313681869,35.595105673,*,5.4505005562,10.3448275862,*,2.5583982202,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3513,True,171,101,3,2,394,0.0,272,0.6903553299492385,0.6286764705882353,0.3713235294117647,"Hans Ardüser (1557 – nach 1614), Bündner Wandermaler, Lehrer und Chronist|Joseph Michael Willi (1824–1897), Jesuit, Missionar und Pädagoge|Anton Thaddäus von Sumerau (1697–1771), erster Regierungspräsident Vorderösterreichs",3.0,0.9653485267042677,0.6211967229252292,73.59686985629423,0.03465147329573227,0.013124848092035972,8.287038674038238,13.0,8054,0.001614104792649615,0.8152173913043478,0.005025473954181541,0.2668261959049146,0.054264440432529266,17.031240153767932
Schmitten (GR),221,-13.671875,19.4713656388,10.8597285068,11.3122171946,56.1085972851,32.5791855204,4.3956043956,0.0,0.0,13.1868131868,108,1.962962963,11.35,1.8551236749,5,25.7950530035,-7,57.5971731449,14.7526501767,69,5,50,14,X,X,X,9,2.5454545455,0.0,X,9.2957746479,24.7887323944,8.7323943662,41.9718309859,*,3.9436619718,9.2957746479,*,1.9718309859,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3514,True,56,48,5,0,173,0.0,104,0.6011560693641619,0.5384615384615384,0.4615384615384615,0,0.0,0.9730280314766722,0.7989544767370547,81.82101419301246,0.026971968523327804,0.004536984525642065,9.117355656003197,13.0,8054,0.001614104792649615,0.2028985507246377,0.00031192596956988874,0.2668261959049146,0.0,16.01685002691817
Albula/Alvra,1283,-5.8694057227,13.6591078463,14.8869836321,15.4325798909,60.0155884645,24.5518316446,3.8565368299,2.313922098,6.1704589279,13.1122252218,579,2.1761658031,93.93,2.7881238693,58,28.0621474939,-137,46.3232946685,22.8264339683,714,104,98,512,172,44,27,101,1.5475313191,0.0,X,8.4401709402,29.1132478632,15.2777777778,28.0448717949,*,6.6239316239,8.8141025641,*,3.6858974359,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3542,True,303,254,5,4,957,0.0,557,0.5820271682340648,0.5439856373429084,0.4560143626570915,0,0.0,0.9815428497962965,0.6901583394441673,75.95518306814556,0.018457150203703563,0.033217208134165115,9.679537352043745,13.0,8054,0.001614104792649615,0.7170868347338936,0.017571829619103734,0.2668261959049146,0.0,16.419581112073963
Surses,2327,-4.4745484401,7.1872007907,14.9548775247,13.8805328749,56.8972926515,29.2221744736,5.5519965834,1.2812299808,5.1249199231,8.5415332052,1139,2.0254609306,323.77,1.0594594595,63,41.6895752896,-451,18.2640926641,38.9868725869,1426,187,325,914,305,66,57,182,1.3149385643,15.3649167734,0.38,14.1221374046,29.9765120376,13.0945390487,21.3446858485,*,6.8408690546,8.3675866119,*,6.2536699941,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3543,True,653,421,2,3,1777,0.0,1074,0.6043894203714125,0.6080074487895717,0.3919925512104283,0,0.0,0.991024038471554,0.6883241886315569,76.51450155401986,0.008975961528446045,0.061411326257797945,9.203836020953878,13.0,8054,0.001614104792649615,0.6409537166900421,0.03150452292655876,0.2668261959049146,0.46190781050079943,24.443140797594566
Bergün Filisur,898,-5.2742616034,4.7228358052,17.5946547884,15.9242761693,59.4654788419,24.6102449889,4.4370493622,1.1092623405,6.6555740433,4.4370493622,404,2.1435643564,190.14,0.9778151614,23,19.8244138366,-415,27.5417937125,51.6559772895,571,127,104,340,112,21,20,71,1.1774600505,2.1881838074,X,17.9775280899,9.4881398252,17.6029962547,28.4644194757,*,9.9875156055,10.986267166,*,5.493133583,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Albula,3544,True,282,142,2,6,657,0.0,424,0.6453576864535768,0.6650943396226415,0.3349056603773584,0,0.0,0.9946342740932177,0.6170107106748421,73.50222756634773,0.005365725906782342,0.022819951929568715,6.668893119356668,13.0,8054,0.001614104792649615,0.5954465849387041,0.011610577756212525,0.2668261959049146,0.06578227571002829,17.376856497106974
Brusio,1120,-0.267141585,24.1900647948,14.1071428571,14.6428571429,56.1607142857,29.1964285714,1.7913121361,0.8956560681,4.4782803403,11.6435288849,476,2.3109243697,46.3,2.4648648649,26,15.3081081081,-187,55.6324324324,26.5945945946,857,149,402,306,127,23,31,73,0.9070294785,0.0,0.63,7.1471113758,10.4228707564,19.2376414532,52.8290649196,*,3.5735556879,6.3728409768,*,0.4169148303,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Bernina,3551,True,275,216,1,6,878,0.0,491,0.5592255125284739,0.560081466395112,0.439918533604888,0,0.0,0.966115250341921,0.7112257070143237,76.23592042649612,0.03388474965807894,0.028815252909881444,9.969823150820805,0.0,4613,0.0,0.3570595099183197,0.010432190760059613,0.0,0.0,0.24341778440139095
Poschiavo,3493,-0.3707929264,18.2870006806,8.6458631549,19.3243630117,55.1388491268,25.5367878614,3.7095163361,0.2853474105,7.1336852618,10.5578541875,1468,2.3092643052,191.01,1.7699115044,56,18.9610933655,-446,33.4450437241,45.823951406,2165,214,635,1316,425,66,100,259,2.8248587571,1.1376564278,0.46,11.0188945788,20.2013067279,18.5060921773,35.9879922303,*,7.6461239626,4.3616457708,*,2.2779445524,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Bernina,3561,True,1065,608,27,12,2823,0.0,1673,0.5926319518243004,0.6365809922295278,0.3634190077704722,0,0.0,0.9747630977457932,0.8587619613089036,84.92073006592032,0.025236902254206817,0.0929001593345756,10.641044743638627,0.0,4613,0.0,0.607852193995381,0.0454372162340138,0.0,0.0342007963607717,1.6302149848065173
Falera,620,7.0811744387,27.7280858676,13.5483870968,18.7096774194,52.9032258065,28.3870967742,3.2388663968,0.0,4.8582995951,8.0971659919,269,2.3011152416,22.36,2.6398210291,18,60.0,-79,20.0447427293,17.3154362416,240,29,59,152,X,11,X,28,1.1895910781,8.025682183,X,7.1948261924,45.432497979,6.3055780113,29.3451899757,*,7.8415521423,2.0210185934,*,1.8593371059,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,3572,True,220,107,0,6,467,0.0,327,0.7002141327623126,0.672782874617737,0.327217125382263,0,0.0,0.9609321342928072,0.7263204716913597,79.23529139836192,0.03906786570719284,0.015312322774041967,7.83823765775492,25.0,21289,0.0011743153741368782,0.6333333333333333,0.0050947908363081825,0.1941250069391363,0.2412720706266788,15.787580046306685
Laax,1885,40.044576523,59.444970041,19.7347480106,14.5358090186,62.4933687003,22.9708222812,6.4119690088,3.2059845044,5.3433075073,6.4119690088,951,1.9074658254,31.71,3.9772727273,24,34.2171717172,-52,30.8396464646,30.9659090909,1445,24,123,1298,179,11,29,139,2.7256814204,20.5128205128,X,14.0369580668,27.2210376688,9.8081023454,31.3788201848,*,7.960199005,5.1883439943,*,4.4065387349,*,Änderung vom 19. März 2021 des Covid-19-Gesetzes,Modification du 19 mars 2021 de la loi COVID-19,Modifica del 19 marzo 2021 della legge COVID-19,Midada dals 19 da mars 2021 da la Lescha COVID-19,2021-11-28,E3,federation,final,proposal,Surselva,3575,True,629,335,13,3,1368,0.0,964,0.7046783625730995,0.6524896265560166,0.3475103734439834,0,0.0,0.9144676593774739,0.559196177257443,69.0024652779395,0.0855323406225261,0.04947473601771584,11.597422440433856,25.0,21289,0.0011743153741368782,0.8982698961937716,0.044813364294874015,0.1941250069391363,0.6166666666666667,22.970923361006353
