Famous_Person,Muncipality
"Otto Amrein, Arzt",Arosa
"Friedrich Wilhelm Paul Götz, Klimatologe",Arosa
"Otto Herwig, Arzt",Arosa
"Christian Maurer, evangelischer Theologe und Hochschullehrer",Arosa
"Ernst Rahm, Botaniker und Historiker",Arosa
"Martin Röthlisberger, Arzt",Arosa
"Carl Rüedi, Arzt",Arosa
"Gottlob Schrenk, deutscher evangelischer Geistlicher und Hochschullehrer",Arosa
"Georg Brunold, Journalist und Schriftsteller",Arosa
"Guido Caminada, Kunstmaler und Bildhauer",Arosa
"Hans Danuser, Chronist und Onomastiker",Arosa
"Hans Gysi, Schriftsteller, Regisseur und Schauspieler",Arosa
"Wädi Gysi, Musiker und Eishockeyspieler",Arosa
"Hitsch Jenny, Volksmusiker",Arosa
"Josias Jenny, Volksmusiker",Arosa
"Lora Lamm, Grafikerin",Arosa
"Ernst Lichtenhahn, Musikwissenschaftler ",Arosa
"Fritz Lichtenhahn, Schauspieler",Arosa
"Fritz Maron, Architekt und Historiker",Arosa
"Daniel Meisser, Skilehrer und Architekt, „Gigi von Arosa“",Arosa
"Felix Moeschlin, Kurdirektor und Schriftsteller",Arosa
"Kathrin Rüegg, Autorin und Fernsehköchin der Sendung Was die Grossmutter noch wusste",Arosa
"Hans Roelli, Kurdirektor, Komponist und Dichter",Arosa
"Roman Vital, Filmemacher",Arosa
"Livia Altmann, Eishockeyspielerin",Arosa
"Nini von Arx-Zogg, Skirennfahrerin",Arosa
"Tiziana Cipriani Gadient, Eishockeyspielerin",Arosa
"Pietro Cunti, Eishockeyspieler",Arosa
"Mia Engi, Skiakrobatin",Arosa
"Hans Flütsch, Wintermehrkämpfer",Arosa
"Ueli Fritz, Musher",Arosa
"Beni Führer, Skirennfahrer",Arosa
"Jürg Gadient, Skirennfahrer ",Arosa
"Werner Geeser, Skilangläufer",Arosa
"Roland Habisreutinger, Eishockeyspieler und -trainer",Arosa
"Ruedi Homberger, Bergsteiger und Fotograf",Arosa
"Heini Klotz, Skirennfahrer",Arosa
"Guido Lindemann, Eishockeyspieler",Arosa
"Kim Lindemann, Eishockeyspieler",Arosa
"Markus Lindemann, Eishockeyspieler",Arosa
"Sven Lindemann, Eishockeyspieler",Arosa
"Heini Lohrer, Eishockeyspieler",Arosa
"Werner Lohrer, Eishockeyspieler",Arosa
"Werner Mattle, Skirennfahrer",Arosa
"Jöri Mattli, Eishockeyspieler",Arosa
"Michael Meier, Eishockeyspieler",Arosa
"Engelhard Pargätzi, Skirennfahrer",Arosa
"Guido Pfosi, Eishockeyspieler ",Arosa
"Gebi Poltera, Eishockeyspieler",Arosa
"Ueli Poltera, Eishockeyspieler",Arosa
"Andreas Ritsch, Eishockeyspieler",Arosa
"Yvonne Rüegg, Skirennfahrerin",Arosa
"Hans Schmid, Eishockeyspieler und promovierter Zoologe",Arosa
"Lorenzo Schmid, Eishockeyspieler",Arosa
"Peter Schwendener, Skirennfahrer",Arosa
"Gian Simmen, Snowboarder",Arosa
"Heini Staub, Eishockeyspieler",Arosa
"Roger Staub, Skirennfahrer und Eishockeyspieler",Arosa
"Charles Stoffel, Bobfahrer und Reiter",Arosa
"Hans Martin Trepp, Eishockeyspieler",Arosa
"Isabel Waidacher, Eishockeyspielerin",Arosa
"Ludwig Waidacher junior, Eishockeyspieler",Arosa
"Ludwig Waidacher senior, Eishockeyspieler",Arosa
"Monika Waidacher, Eishockeyspielerin",Arosa
"Nina Waidacher, Eishockeyspielerin ",Arosa
"Flury Zogg, Skirennfahrer",Arosa
"David Zogg, Skirennfahrer und Bergsteiger",Arosa
"Hans Hold, Politiker und Brigadier",Arosa
"Pascal Jenny, Kurdirektor",Arosa
